Гори                :::s9620342            
Баяндур             :::s9621757            
Баграван            :::s9621761            
Ани Пемза           :::s9637534            
Баграван (посёлок)  :::s9637535            
Джрапи              :::s9637536            
Исаакян             :::s9637537            
Ширакаван           :::s9637538            
Аревик              :::s9637548            
Аревик (посёлок)    :::s9637549            
Айгабац             :::s9637550            
Меграшен            :::s9637551            
Паник               :::s9637552            
Анушаван            :::s9637553            
Лмбат               :::s9637554            
Пемзашен (посёлок)  :::s9637555            
Гюмри               :::s9621719            
Калтахчи            :::s9621731            
Налбанд             :::s9621732            
Спитак              :::s9621733            
Арчут               :::s9621734            
Памбак              :::s9621735            
Шагали              :::s9621736            
Туманян             :::s9621737            
Кобер               :::s9621738            
Ахпат               :::s9621739            
Ахтала              :::s9621740            
Алаверди            :::s9621742            
Санаин              :::s9621743            
Лусахпюр            :::s9637539            
Сараландж           :::s9637540            
Парни               :::s9637541            
Сараарт             :::s9637542            
Ваагни              :::s9637543            
Джахацнер           :::s9637544            
2626 км             :::s9637545            
Шнох                :::s9637546            
Ванадзор            :::s9621750            
Ереван              :::s9621716            
Норагавит           :::s9621749            
Канакер             :::s9637556            
Алмаз               :::s9727189            
Ереван Центральный  :::s9621717            
Ерасх               :::s9621720            
Масис               :::s9621721            
Сис                 :::s9621747            
Арарат              :::s9621755            
Арташат             :::s9621756            
Айгеван             :::s9621759            
Мхчян               :::s9621763            
Суренаван           :::s9621767            
Масис-кольцо        :::s9637521            
Даллар              :::s9637522            
Юва                 :::s9637523            
Шампайн             :::s9637524            
Нор Кянк            :::s9637525            
Айгеван (посёлок)   :::s9637526            
Авшар               :::s9637527            
Арарат (посёлок)    :::s9637528            
Зод                 :::s9637529            
Армаш               :::s9637530            
Абовян              :::s9621724            
51 км               :::s9637557            
Нурнус              :::s9637558            
Чаренцаван          :::s9637559            
Солак               :::s9637560            
Солак (посёлок)     :::s9637561            
Кахси               :::s9637562            
Варсер              :::s9802592            
Шогер               :::s9802593            
Аревик              :::s9802594            
Цицернак            :::s9802595            
Драхтик             :::s9802596            
Раздан              :::s9621723            
Айрум               :::s9621741            
2585 км             :::s9637547            
Агстафа             :::s9621659            
Барда               :::s9621621            
Гаджиево            :::s9621633            
Горадил             :::s9882377            
Мамедли             :::s9882379            
Агдаш               :::s9883853            
Габала              :::s9883854            
Джульфа             :::s9621570            
Запасной код        :::s9621571            
Леджет              :::s9621572            
Худат               :::s9621573            
Кусар-Чай           :::s9621574            
Чархи               :::s9621575            
Сарван              :::s9621576            
Дивичи              :::s9621577            
Гильгиль-Чай        :::s9621578            
Кизил-Бурун         :::s9621579            
Сиазань             :::s9621580            
Зорат               :::s9621581            
Килязи              :::s9621582            
Ситал-Чай           :::s9621583            
Яшма                :::s9621584            
Гаджи зейналабдин   :::s9621585            
Евлах               :::s9621586            
Гюздек              :::s9621588            
Хырдалан            :::s9621589            
Баладжары           :::s9621590            
Эйбат               :::s9621591            
Пута                :::s9621592            
Карадаг             :::s9621593            
Сангачалы           :::s9621594            
Гобустан            :::s9621595            
Гаджигабул          :::s9621596            
Алят-Главная        :::s9621597            
Атбулак             :::s9621598            
Наваги              :::s9621599            
Пирсогат            :::s9621600            
Беюк-Кясик          :::s9621601            
Союк-Булак          :::s9621602            
Салахлы             :::s9621603            
Пойлы               :::s9621604            
Казах               :::s9621605            
Бархударлы          :::s9621607            
Татлу               :::s9621608            
Товуз               :::s9621609            
Ковляр              :::s9621610            
Дзегам              :::s9621611            
Долляр              :::s9621612            
Шамкир              :::s9621613            
Алабашлы            :::s9621614            
Зазалы              :::s9621615            
Кюрдамир            :::s9621616            
Далимамедлы         :::s9621617            
Кюрок-Чай           :::s9621618            
Геран               :::s9621619            
Мингечаур           :::s9621620            
Агдам               :::s9621622            
Малай               :::s9621623            
Аликент             :::s9621624            
Уджары              :::s9621625            
Ляки                :::s9621626            
Баргушеты           :::s9621627            
Мюсюсли             :::s9621628            
Карабуджак          :::s9621629            
Керар               :::s9621630            
Сагири              :::s9621631            
Падар               :::s9621632            
Муган               :::s9621634            
Знойный             :::s9621635            
Карагюна            :::s9621637            
Ширван              :::s9621638            
Османлы-Новые       :::s9621639            
Азадыкенд           :::s9621640            
Сальяны             :::s9621641            
Кырмынзы кенд       :::s9621642            
Мюрсалы             :::s9621643            
Сараджаляр          :::s9621644            
Саатлы              :::s9621645            
Ялама               :::s9621646            
Марджанлы           :::s9621647            
Халафли             :::s9621648            
Тазакенд            :::s9621649            
Белоканы            :::s9621650            
Закаталы            :::s9621652            
Кахи                :::s9621653            
Шеки                :::s9621654            
Кафан               :::s9621655            
Сабухи              :::s9621656            
Ханабад             :::s9621657            
542 км              :::s9621658            
Агбент              :::s9621660            
Аза                 :::s9621661            
Акара               :::s9621662            
Астазур             :::s9621663            
Астара              :::s9621664            
Бартаз              :::s9621665            
Башбаши             :::s9621666            
Бегманпы            :::s9621667            
Беджары             :::s9621668            
Ватаги              :::s9621669            
Гаджилу             :::s9621670            
Горадиз             :::s9621671            
Дашбурун            :::s9621672            
Алят-Новая          :::s9621673            
Дорашам             :::s9621674            
Имишлы              :::s9621675            
Камышевка           :::s9621676            
Каргалуг            :::s9621677            
Карчивань           :::s9621678            
Казумлы             :::s9621679            
Гара борк           :::s9621680            
Кумлах              :::s9621681            
Ленкорань           :::s9621682            
Масаллы             :::s9621683            
Махмудлы            :::s9621684            
Мегри               :::s9621685            
Минджевань          :::s9621686            
Неграм              :::s9621688            
Джалилабад          :::s9621689            
Шарур               :::s9621690            
Нюведи              :::s9621691            
Ордубад             :::s9621692            
Лиман               :::s9621693            
Султанлы            :::s9621694            
Ташарх              :::s9621695            
Халач               :::s9621696            
Шахтахты            :::s9621697            
Пойлы-Новая         :::s9621698            
Аскеран             :::s9621699            
Зангелан            :::s9621700            
Пиршаги             :::s9621701            
Гасымов магомед иса :::s9621702            
Яйджи               :::s9621703            
Беюк-Шор            :::s9621705            
Бакиханов           :::s9621706            
Забрат 2            :::s9621707            
Сабунчи             :::s9621708            
Кишлы               :::s9621710            
Шакарлы             :::s9621711            
Ширван              :::s9621712            
Кючарли             :::s9621713            
Велидаг             :::s9621714            
526 км              :::s9621715            
Тапа                :::s9882374            
Новханы             :::s9882378            
Забрат 1            :::s9882384            
Сумгаит             :::s9621587            
Сумгаит-Новый       :::s9621704            
Гянджа              :::s9621606            
Баку-Пасс.          :::s9621568            
Баку                :::s9621569            
Кишлы               :::s9882375            
Нариманов           :::s9621709            
Кёроглы             :::s9882376            
Заводская           :::s9882381            
2637 км             :::s9882382            
Депо                :::s9882383            
Ханкенди            :::s9621651            
Нахичевань          :::s9621687            
Хачмас              :::s9621636            
Стамфорд            :::s9635492            
Ла-Корунья          :::s9730475            
Гродеково-Суйфынхэ  :::s9600508            
50 км               :::s9887138            
Турышкино           :::s9887139            
Остров над охри     :::s9621379            
Зап.код             :::s9621277            
Духцов              :::s9621278            
Чадца(чехия)        :::s9621279            
Блудов              :::s9621282            
Чески тешин         :::s9621283            
Фридек-Мистек       :::s9621285            
Фридлант над остравичи:::s9621286            
Бржецлав            :::s9621287            
Гавиров             :::s9621288            
Ганушовице          :::s9621289            
Горни лидец(чехия)  :::s9621290            
Границе на Мораве   :::s9621291            
Годонин             :::s9621292            
Крнов               :::s9621293            
Хулин               :::s9621294            
Богумин             :::s9621295            
Опава виход         :::s9621296            
Йиглава             :::s9621297            
Петровице-у-Карвине :::s9621301            
Пршеров             :::s9621302            
Кыйов               :::s9621303            
Студенка            :::s9621304            
Суходол над одрою   :::s9621305            
Шумперк             :::s9621306            
Валашске мезиржичи  :::s9621307            
Всетин              :::s9621308            
Забжег на Мораве    :::s9621309            
Отроковице          :::s9621310            
Требич              :::s9621312            
Заецы               :::s9621313            
Хлумек              :::s9621314            
Лиза                :::s9621315            
Градец кралове      :::s9621316            
Усти над Лабем      :::s9621317            
Частоловице         :::s9621318            
Нимбург             :::s9621319            
Падебраде           :::s9621320            
Теплице в Чехах     :::s9621321            
Велки осек          :::s9621322            
Летоград            :::s9621323            
Мост                :::s9621324            
Колин               :::s9621325            
Лихков              :::s9621326            
Хомутов             :::s9621327            
Хомутов Место       :::s9621328            
Кладно              :::s9621329            
Кластерец над Охри  :::s9621330            
Кадань              :::s9621331            
Замрск              :::s9621333            
Жатец               :::s9621334            
Шокен               :::s9621335            
Брандус над орли    :::s9621336            
Усти над Орлице     :::s9621337            
Ческа Тршебова      :::s9621338            
Иирков Заставка     :::s9621339            
Либерец             :::s9621340            
Гавличкув брод      :::s9621341            
Турнов              :::s9621342            
Баков над йизероу   :::s9621343            
Кралупы над влтавою :::s9621344            
Миловице            :::s9621345            
Млада болеслав гл.н.:::s9621346            
Билина              :::s9621347            
Йичин               :::s9621348            
Дечин гл.н.         :::s9621349            
Ловосице            :::s9621350            
Яромер              :::s9621351            
Ческа липа гл н     :::s9621352            
Бероун              :::s9621358            
Здице               :::s9621359            
Хоровице            :::s9621360            
Збирох              :::s9621361            
Рокицаны            :::s9621362            
Пльзень             :::s9621363            
Ческе будеевице     :::s9621364            
Домажлице           :::s9621365            
Табор               :::s9621366            
Ческе веленице      :::s9621367            
Ходов               :::s9621368            
Марианске лазне     :::s9621369            
Стрибро             :::s9621370            
Плана у марианск лазне:::s9621371            
Лазне кинжварт      :::s9621372            
Хеб                 :::s9621373            
Горни дворжиште     :::s9621374            
Писек               :::s9621375            
Кынсперк над Охри   :::s9621377            
Соколов             :::s9621378            
Остров Н.О.         :::s9634232            
Прага Беховице      :::s9634544            
Старе Место         :::s9634655            
Годонин             :::s9634656            
Прага               :::s9621281            
Прага Главная       :::s9621353            
Прага-Либен         :::s9621354            
Прага-Смихов        :::s9621355            
Прага Холешовице    :::s9621356            
Прага Вршовице      :::s9621357            
Prague Main Railway Station:::s9861961            
Брно                :::s9621284            
Brno Railway Station:::s9877830            
Брно-Главный        :::s9848901            
Старе Место (Угерске-Градиште):::s9621311            
Пардубице           :::s9621332            
Оломоуц Главный     :::s9621298            
Острава             :::s9621280            
Острава Главная     :::s9621299            
Острава Свинов      :::s9621300            
Ostrava Main Railway Station:::s9861963            
Карвина             :::s9850957            
Тршинец             :::s9850956            
Табор               :::s9849293            
Ческе-Будеёвице     :::s9849199            
Карловы Вары        :::s9621376            
Либерец             :::s9672524            
Олимпия             :::s9622114            
Идомени             :::s9622080            
Серре               :::s9622081            
Стримон             :::s9622082            
Промахон            :::s9622083            
Аминдеон            :::s9622084            
Аргос               :::s9622085            
Бралос              :::s9622086            
Чалкис              :::s9622087            
Дидимотичон         :::s9622088            
Дикеа               :::s9622089            
Эдесса              :::s9622090            
Эгион               :::s9622091            
Иной                :::s9622092            
Каламата            :::s9622093            
Каламбака           :::s9622094            
Калаврита           :::s9622095            
Кардитса            :::s9622096            
Катаколон           :::s9622097            
Кавасила            :::s9622098            
Килини              :::s9622099            
Килкис              :::s9622100            
Кипариссиа          :::s9622101            
Комотини            :::s9622102            
Коринфос            :::s9622103            
Ламиа               :::s9622104            
Лептокариа          :::s9622105            
Литохорон           :::s9622106            
Макригиалос         :::s9622107            
Мегалополис         :::s9622108            
Мессониссион        :::s9622109            
Метхони             :::s9622110            
Микине              :::s9622111            
Н орестиас          :::s9622112            
Наоуса              :::s9622113            
Пиреефс             :::s9622115            
Пиргос              :::s9622116            
Платамон            :::s9622117            
Поликастрон         :::s9622118            
Птолемаис           :::s9622119            
Родополис           :::s9622120            
Сидирокастрон       :::s9622121            
Скидра              :::s9622122            
Соуфлион            :::s9622123            
Тхиве               :::s9622124            
Трикала             :::s9622125            
Триполис            :::s9622126            
Вериа               :::s9622127            
Ксантхи             :::s9622128            
Ксилокастрон        :::s9622129            
Зевголатио          :::s9622130            
Диакофто            :::s9622131            
Левадиа             :::s9622133            
Лианокладион        :::s9622134            
Патрас              :::s9622135            
Палеофарсалос       :::s9622136            
Ларисса             :::s9622137            
Катерини            :::s9622138            
Волос               :::s9622139            
Плати               :::s9622140            
Козани              :::s9622142            
Флорина             :::s9622143            
Драма               :::s9622144            
Александрополис     :::s9622145            
Афины               :::s9622132            
Афины               :::s9848980            
Салоники            :::s9622141            
Плюсса              :::s9603037            
Гдов                :::s9603135            
Пустошка            :::s9603005            
Таборы              :::s9602511            
Горушки-Невельские  :::s9603580            
Сердце              :::s9602512            
Великополье         :::s9602513            
Бубново             :::s9602514            
Чернозём            :::s9602527            
Опухлики            :::s9602528            
Железница           :::s9602529            
Молокоедово         :::s9602530            
Завережье           :::s9602531            
Каратай             :::s9602532            
Воробецкая          :::s9602533            
Гущино              :::s9602534            
Выдумка             :::s9602535            
Абово               :::s9602536            
Лемно               :::s9602537            
Брыканово           :::s9602538            
Заваруйка           :::s9602539            
Гарнея              :::s9602540            
Шубино              :::s9602541            
Тигощи              :::s9602542            
Загоскино           :::s9602543            
Лозовицы            :::s9602544            
Шиленка             :::s9602545            
Роща                :::s9602546            
Сосынье             :::s9602547            
Лунёво              :::s9602548            
Подсевы             :::s9602549            
Вешки               :::s9602550            
Кеб                 :::s9602551            
Берёзки             :::s9602552            
Моглино             :::s9602554            
Новоизборск         :::s9602555            
Дуловская           :::s9602556            
Стремутка           :::s9602557            
Черёха              :::s9602558            
Черняковицы         :::s9602560            
Лапино              :::s9602561            
Лядоцкий переезд    :::s9602676            
Добручи             :::s9602677            
Пундури             :::s9602849            
Скангали            :::s9602850            
Ливамяэ             :::s9602921            
Жижица              :::s9602967            
Артёмово            :::s9602968            
Назимово            :::s9602970            
Новохованск         :::s9602997            
Клястица            :::s9602998            
Изоча               :::s9602999            
Власье              :::s9603000            
Маево               :::s9603002            
Нащёкино            :::s9603006            
Посинь              :::s9603009            
Киселевичи          :::s9603010            
Насва               :::s9603011            
Самолуково          :::s9603012            
Стримовичи          :::s9603014            
Ашево               :::s9603016            
Чихачёво            :::s9603017            
Плотовец            :::s9603018            
Судома              :::s9603019            
Бакач               :::s9603021            
Вязье               :::s9603022            
Ритупе              :::s9603027            
Брянчаниново        :::s9603028            
Черская             :::s9603030            
Торошино            :::s9603031            
Молоди              :::s9603032            
Новоселье           :::s9603034            
Владимирский Лагерь :::s9603035            
Лямцево             :::s9603038            
Морино              :::s9603095            
Гачки               :::s9603096            
345 км              :::s9603285            
18 км               :::s9603286            
562 км              :::s9603289            
Льносовхоз          :::s9603290            
580 км              :::s9603291            
Вилье               :::s9603292            
Пуравица            :::s9603293            
246 км              :::s9603301            
308 км              :::s9603303            
375 км              :::s9603308            
Щебзавод            :::s9603311            
232 км              :::s9603362            
236 км              :::s9603367            
Щепец               :::s9603369            
Гольцево (349 км)   :::s9603370            
Пираги (358 км)     :::s9603371            
147 км              :::s9603378            
124 км              :::s9603379            
Забойники           :::s9603395            
259 км              :::s9603418            
612 км              :::s9603439            
241 км              :::s9603465            
500 км              :::s9603471            
623 км              :::s9603513            
197 км              :::s9603533            
489 км              :::s9603539            
305 км              :::s9603565            
Симанцево (590 км)  :::s9603569            
548 км              :::s9603574            
559 км              :::s9603582            
637 км              :::s9603583            
282 км              :::s9603584            
285 км              :::s9603585            
Полонка             :::s9603598            
251 км              :::s9603621            
336 км              :::s9603627            
297 км              :::s9603661            
539 км              :::s9603680            
264 км              :::s9603682            
238 км              :::s9603702            
644 км              :::s9603705            
290 км              :::s9603711            
272 км              :::s9603718            
451 км              :::s9603724            
262 км              :::s9603733            
Гудок (639 км)      :::s9603758            
258 км              :::s9603810            
301 км              :::s9603811            
303 км              :::s9603812            
434 км              :::s9603813            
Федорково           :::s9603868            
147 км              :::s9633771            
Захонье             :::s9633772            
124 км              :::s9633773            
242 км              :::s9634148            
167 км              :::s9634156            
177 км              :::s9634157            
Псков Тов.          :::s9634566            
Псков Тур.          :::s9634567            
296 км              :::s9635379            
300 км              :::s9635380            
306 км              :::s9635381            
Кодосно             :::s9635409            
287 км              :::s9655368            
294 км              :::s9655369            
303 км              :::s9655370            
308 км              :::s9655371            
332 км              :::s9655372            
Белкино             :::s9655373            
558 км              :::s9655375            
626 км              :::s9655376            
648 км              :::s9655377            
270 км              :::s9655378            
314 км              :::s9655379            
326 км              :::s9655380            
331 км              :::s9655381            
334 км              :::s9655382            
371 км              :::s9655383            
379 км              :::s9655384            
382 км              :::s9655385            
388 км              :::s9655386            
397 км              :::s9655387            
399 км              :::s9655388            
407 км              :::s9655389            
417 км              :::s9655390            
504 км              :::s9655391            
Кузнецовка          :::s9655392            
439 км              :::s9655393            
447 км              :::s9655394            
453 км              :::s9655395            
454 км              :::s9655396            
323 км              :::s9655398            
344 км              :::s9655399            
355 км              :::s9655400            
357 км              :::s9655401            
398 км              :::s9655402            
Сущево              :::s9603053            
Кунья               :::s9602969            
Дно                 :::s9603063            
Дно-3 (551 км)      :::s9603460            
Великие Луки        :::s9603033            
481 км              :::s9603646            
Локомотивное депо   :::s9635382            
314 км              :::s9655397            
Забелье             :::s9603004            
Карамышево          :::s9603025            
Порхов              :::s9603024            
Остров              :::s9603029            
Невель-1            :::s9602996            
Невель-2            :::s9603043            
Невель              :::s9603227            
Псков-Пасс.         :::s9602993            
Полковая            :::s9602553            
Любятово            :::s9602559            
Псков аген          :::s9603913            
Псков инт           :::s9603928            
Псков-Тов.          :::s9655366            
Псков-Туристский    :::s9655367            
Псков-2             :::s9655374            
Идрица              :::s9603007            
Дедовичи            :::s9603020            
Струги Красные      :::s9603036            
Пыталово            :::s9602928            
Локня               :::s9603015            
Себеж               :::s9603008            
Новосокольники      :::s9603001            
Печоры-Псковские    :::s9603026            
90 км               :::s9609631            
85 км               :::s9609685            
Караоба             :::s9609987            
76 км               :::s9610044            
Елимай              :::s9610100            
Челновая            :::s9605065            
Богоявленск         :::s9605070            
Моршанск            :::s9606334            
Избердей            :::s9605078            
Оборона             :::s9605497            
Токаревка           :::s9605112            
Умёт                :::s9605340            
Мичуринск-Воронежский:::s9605074            
Мичуринск-Уральский :::s9605076            
408 км              :::s9605232            
Больница            :::s9605434            
Мичуринск           :::s9605077            
Старое Юрьево       :::s9605063            
Кирсанов            :::s9605066            
Платоновка          :::s9605493            
